Chi-squared,1.51511091,,,,,,,
Parameter,Value,Error,,,,,,
bg_a,32.70477083,3.95880628,,,,,,
bg_b,4.455616031,2.540830238,,,,,,
bg_c,-2.025033404,0.380361539,,,,,,
center_1,-0.002353106,0.004383311,,,,,,
area_1,165.9053934,5.243913948,,,,,,
FWHM_1,0.310397603,0.009969523,,,,,,
center_2,0.416494821,0.024300822,,,,,,
area_2,17.07873501,3.177434235,,,,,,
FWHM_2,0.278587676,0.051204291,,,,,,
center_3,1.015944692,0.021233864,,,,,,
area_3,8.180222698,1.811353947,,,,,,
FWHM_3,0.240844359,0.052340195,,,,,,
,,,,,,,,
x_data,y_data,yerr_data,x_fit,y_fit,y_bg,gaussian_1,gaussian_2,gaussian_3
,,,0.462018349,88.82663706,34.33108163,1.013390918,53.48215088,1.36E-05
,,,0.466972477,87.8120806,34.34383543,0.887087717,52.58113976,1.77E-05
,,,0.471926606,86.73667822,34.35648983,0.775430088,51.60473538,2.29E-05
,,,0.476880734,85.60367184,34.36904483,0.676869982,50.5577274,2.96E-05
,,,0.481834862,84.41672175,34.38150043,0.590003224,49.4451799,3.82E-05
,,,0.486788991,83.17985506,34.39385662,0.513558639,48.27239067,4.91E-05
,,,0.491743119,81.89741357,34.40611341,0.446387698,47.04484941,6.31E-05
,,,0.496697248,80.57400137,34.4182708,0.387454688,45.76819516,8.07E-05
,,,0.501651376,79.21443283,34.43032878,0.335827415,44.44817352,0.000103113
,,,0.506605505,77.82368124,34.44228737,0.290668451,43.09059403,0.000131396
,,,0.511559633,76.40682877,34.45414655,0.251226918,41.70128826,0.000167046
,,,0.516513761,74.96901788,34.46590633,0.216830799,40.28606889,0.000211869
,,,0.52146789,73.51540482,34.4775667,0.186879771,38.85069025,0.000268091
,,,0.526422018,72.05111538,34.48912768,0.160838546,37.40081072,0.000338436
,,,0.531376147,70.58120335,34.50058925,0.138230701,35.94195716,0.000426239
,,,0.536330275,69.11061183,34.51195142,0.11863297,34.47949188,0.000535562
,,,0.541284404,67.64413771,34.52321418,0.10167,33.01858218,0.000671348
,,,0.546238532,66.18639952,34.53437755,0.087009518,31.56417287,0.000839589
