Chi-squared,1.51511091,,,,,,,
Parameter,Value,Error,,,,,,
bg_a,32.70477083,3.95880628,,,,,,
bg_b,4.455616031,2.540830238,,,,,,
bg_c,-2.025033404,0.380361539,,,,,,
center_1,-0.002353106,0.004383311,,,,,,
area_1,165.9053934,5.243913948,,,,,,
FWHM_1,0.310397603,0.009969523,,,,,,
center_2,0.416494821,0.024300822,,,,,,
area_2,17.07873501,3.177434235,,,,,,
FWHM_2,0.278587676,0.051204291,,,,,,
center_3,1.015944692,0.021233864,,,,,,
area_3,8.180222698,1.811353947,,,,,,
FWHM_3,0.240844359,0.052340195,,,,,,
,,,,,,,,
x_data,y_data,yerr_data,x_fit,y_fit,y_bg,gaussian_1,gaussian_2,gaussian_3
,,,4.113211009,16.77112238,16.77112238,1.04E-209,5.49E-211,2.32E-198
,,,4.118165138,16.71061664,16.71061664,3.20E-210,1.48E-211,5.35E-199
,,,4.123119266,16.65001149,16.65001149,9.87E-211,4.00E-212,1.23E-199
,,,4.128073394,16.58930695,16.58930695,3.04E-211,1.08E-212,2.82E-200
,,,4.133027523,16.528503,16.528503,9.37E-212,2.89E-213,6.45E-201
,,,4.137981651,16.46759965,16.46759965,2.88E-212,7.74E-214,1.47E-201
,,,4.14293578,16.4065969,16.4065969,8.83E-213,2.07E-214,3.35E-202
,,,4.147889908,16.34549475,16.34549475,2.71E-213,5.53E-215,7.62E-203
,,,4.152844037,16.28429319,16.28429319,8.28E-214,1.48E-215,1.73E-203
,,,4.157798165,16.22299223,16.22299223,2.53E-214,3.93E-216,3.90E-204
,,,4.162752294,16.16159187,16.16159187,7.73E-215,1.04E-216,8.80E-205
,,,4.167706422,16.10009211,16.10009211,2.35E-215,2.77E-217,1.98E-205
,,,4.17266055,16.03849294,16.03849294,7.16E-216,7.34E-218,4.45E-206
,,,4.177614679,15.97679437,15.97679437,2.18E-216,1.94E-218,9.96E-207
,,,4.182568807,15.9149964,15.9149964,6.61E-217,5.12E-219,2.23E-207
,,,4.187522936,15.85309903,15.85309903,2.00E-217,1.35E-219,4.96E-208
,,,4.192477064,15.79110226,15.79110226,6.06E-218,3.55E-220,1.10E-208
,,,4.197431193,15.72900608,15.72900608,1.83E-218,9.31E-221,2.45E-209
,,,4.202385321,15.6668105,15.6668105,5.52E-219,2.44E-221,5.42E-210
,,,4.20733945,15.60451552,15.60451552,1.66E-219,6.38E-222,1.20E-210
,,,4.212293578,15.54212113,15.54212113,5.01E-220,1.67E-222,2.64E-211
,,,4.217247706,15.47962734,15.47962734,1.50E-220,4.34E-223,5.80E-212
,,,4.222201835,15.41703415,15.41703415,4.51E-221,1.13E-223,1.27E-212
,,,4.227155963,15.35434156,15.35434156,1.35E-221,2.94E-224,2.78E-213
,,,4.232110092,15.29154957,15.29154957,4.05E-222,7.62E-225,6.07E-214
,,,4.23706422,15.22865817,15.22865817,1.21E-222,1.97E-225,1.32E-214
,,,4.242018349,15.16566737,15.16566737,3.61E-223,5.09E-226,2.87E-215
,,,4.246972477,15.10257717,15.10257717,1.07E-223,1.31E-226,6.23E-216
,,,4.251926606,15.03938757,15.03938757,3.20E-224,3.38E-227,1.35E-216
,,,4.256880734,14.97609856,14.97609856,9.50E-225,8.70E-228,2.90E-217
,,,4.261834862,14.91271015,14.91271015,2.82E-225,2.23E-228,6.25E-218
,,,4.266788991,14.84922234,14.84922234,8.35E-226,5.72E-229,1.34E-218
,,,4.271743119,14.78563513,14.78563513,2.47E-226,1.46E-229,2.88E-219
,,,4.276697248,14.72194852,14.72194852,7.29E-227,3.73E-230,6.15E-220
,,,4.281651376,14.6581625,14.6581625,2.15E-227,9.51E-231,1.31E-220
,,,4.286605505,14.59427708,14.59427708,6.34E-228,2.42E-231,2.79E-221
,,,4.291559633,14.53029225,14.53029225,1.86E-228,6.14E-232,5.92E-222
,,,4.296513761,14.46620803,14.46620803,5.48E-229,1.56E-232,1.25E-222
,,,4.30146789,14.4020244,14.4020244,1.61E-229,3.94E-233,2.65E-223
,,,4.306422018,14.33774137,14.33774137,4.71E-230,9.95E-234,5.57E-224
,,,4.311376147,14.27335894,14.27335894,1.38E-230,2.51E-234,1.17E-224
,,,4.316330275,14.20887711,14.20887711,4.02E-231,6.31E-235,2.46E-225
,,,4.321284404,14.14429587,14.14429587,1.17E-231,1.59E-235,5.14E-226
,,,4.326238532,14.07961523,14.07961523,3.42E-232,3.98E-236,1.07E-226
,,,4.331192661,14.01483519,14.01483519,9.94E-233,9.96E-237,2.24E-227
,,,4.336146789,13.94995575,13.94995575,2.89E-233,2.49E-237,4.65E-228
,,,4.341100917,13.8849769,13.8849769,8.37E-234,6.21E-238,9.63E-229
,,,4.346055046,13.81989865,13.81989865,2.42E-234,1.55E-238,1.99E-229
,,,4.351009174,13.754721,13.754721,7.01E-235,3.85E-239,4.11E-230
,,,4.355963303,13.68944395,13.68944395,2.02E-235,9.55E-240,8.46E-231
,,,4.360917431,13.62406749,13.62406749,5.84E-236,2.37E-240,1.74E-231
,,,4.36587156,13.55859163,13.55859163,1.68E-236,5.85E-241,3.56E-232
,,,4.370825688,13.49301637,13.49301637,4.84E-237,1.44E-241,7.27E-233
,,,4.375779817,13.42734171,13.42734171,1.39E-237,3.56E-242,1.48E-233
,,,4.380733945,13.36156765,13.36156765,3.98E-238,8.76E-243,3.02E-234
,,,4.385688073,13.29569418,13.29569418,1.14E-238,2.15E-243,6.13E-235
,,,4.390642202,13.22972131,13.22972131,3.26E-239,5.27E-244,1.24E-235
,,,4.39559633,13.16364904,13.16364904,9.31E-240,1.29E-244,2.51E-236
,,,4.400550459,13.09747736,13.09747736,2.66E-240,3.15E-245,5.05E-237
,,,4.405504587,13.03120628,13.03120628,7.56E-241,7.69E-246,1.02E-237
,,,4.410458716,12.96483581,12.96483581,2.15E-241,1.87E-246,2.04E-238
,,,4.415412844,12.89836592,12.89836592,6.11E-242,4.55E-247,4.08E-239
,,,4.420366972,12.83179664,12.83179664,1.73E-242,1.10E-247,8.14E-240
,,,4.425321101,12.76512795,12.76512795,4.90E-243,2.67E-248,1.62E-240
,,,4.430275229,12.69835986,12.69835986,1.39E-243,6.46E-249,3.22E-241
,,,4.435229358,12.63149237,12.63149237,3.91E-244,1.56E-249,6.39E-242
,,,4.440183486,12.56452548,12.56452548,1.10E-244,3.76E-250,1.26E-242
,,,4.445137615,12.49745918,12.49745918,3.11E-245,9.03E-251,2.49E-243
,,,4.450091743,12.43029349,12.43029349,8.74E-246,2.17E-251,4.91E-244
,,,4.455045872,12.36302839,12.36302839,2.45E-246,5.20E-252,9.64E-245
,,,4.46,12.29566388,12.29566388,6.88E-247,1.24E-252,1.89E-245
,,,4.464954128,12.22819998,12.22819998,1.93E-247,2.97E-253,3.69E-246
,,,4.469908257,12.16063667,12.16063667,5.38E-248,7.08E-254,7.20E-247
,,,4.474862385,12.09297396,12.09297396,1.50E-248,1.68E-254,1.40E-247
,,,4.479816514,12.02521185,12.02521185,4.19E-249,4.00E-255,2.72E-248
,,,4.484770642,11.95735033,11.95735033,1.17E-249,9.49E-256,5.27E-249
,,,4.489724771,11.88938942,11.88938942,3.24E-250,2.25E-256,1.02E-249
,,,4.494678899,11.8213291,11.8213291,9.00E-251,5.31E-257,1.96E-250
,,,4.499633028,11.75316938,11.75316938,2.50E-251,1.25E-257,3.77E-251
,,,4.504587156,11.68491025,11.68491025,6.91E-252,2.95E-258,7.24E-252
,,,4.509541284,11.61655172,11.61655172,1.91E-252,6.93E-259,1.38E-252
,,,4.514495413,11.5480938,11.5480938,5.27E-253,1.63E-259,2.64E-253
,,,4.519449541,11.47953646,11.47953646,1.45E-253,3.81E-260,5.04E-254
,,,4.52440367,11.41087973,11.41087973,4.00E-254,8.90E-261,9.57E-255
,,,4.529357798,11.34212359,11.34212359,1.10E-254,2.08E-261,1.82E-255
,,,4.534311927,11.27326806,11.27326806,3.02E-255,4.84E-262,3.43E-256
,,,4.539266055,11.20431312,11.20431312,8.27E-256,1.13E-262,6.48E-257
,,,4.544220183,11.13525877,11.13525877,2.26E-256,2.62E-263,1.22E-257
,,,4.549174312,11.06610503,11.06610503,6.19E-257,6.06E-264,2.29E-258
,,,4.55412844,10.99685188,10.99685188,1.69E-257,1.40E-264,4.30E-259
,,,4.559082569,10.92749933,10.92749933,4.60E-258,3.24E-265,8.03E-260
,,,4.564036697,10.85804738,10.85804738,1.25E-258,7.47E-266,1.50E-260
,,,4.568990826,10.78849602,10.78849602,3.41E-259,1.72E-266,2.79E-261
,,,4.573944954,10.71884526,10.71884526,9.24E-260,3.95E-267,5.18E-262
,,,4.578899083,10.64909511,10.64909511,2.51E-260,9.06E-268,9.59E-263
,,,4.583853211,10.57924554,10.57924554,6.78E-261,2.07E-268,1.77E-263
,,,4.588807339,10.50929658,10.50929658,1.83E-261,4.74E-269,3.27E-264
,,,4.593761468,10.43924821,10.43924821,4.95E-262,1.08E-269,6.01E-265
,,,4.598715596,10.36910044,10.36910044,1.33E-262,2.46E-270,1.10E-265
,,,4.603669725,10.29885327,10.29885327,3.59E-263,5.60E-271,2.02E-266
,,,4.608623853,10.2285067,10.2285067,9.64E-264,1.27E-271,3.68E-267
,,,4.613577982,10.15806072,10.15806072,2.59E-264,2.88E-272,6.71E-268
,,,4.61853211,10.08751534,10.08751534,6.93E-265,6.51E-273,1.22E-268
,,,4.623486239,10.01687056,10.01687056,1.85E-265,1.47E-273,2.21E-269
,,,4.628440367,9.946126379,9.946126379,4.96E-266,3.31E-274,4.00E-270
,,,4.633394495,9.875282794,9.875282794,1.32E-266,7.46E-275,7.22E-271
,,,4.638348624,9.804339806,9.804339806,3.52E-267,1.67E-275,1.30E-271
,,,4.643302752,9.733297415,9.733297415,9.38E-268,3.75E-276,2.34E-272
,,,4.648256881,9.662155623,9.662155623,2.49E-268,8.40E-277,4.19E-273
,,,4.653211009,9.590914428,9.590914428,6.61E-269,1.88E-277,7.49E-274
,,,4.658165138,9.51957383,9.51957383,1.75E-269,4.19E-278,1.34E-274
,,,4.663119266,9.448133831,9.448133831,4.64E-270,9.32E-279,2.38E-275
,,,4.668073394,9.376594428,9.376594428,1.22E-270,2.07E-279,4.22E-276
,,,4.673027523,9.304955624,9.304955624,3.23E-271,4.59E-280,7.48E-277
,,,4.677981651,9.233217417,9.233217417,8.51E-272,1.02E-280,1.32E-277
,,,4.68293578,9.161379808,9.161379808,2.24E-272,2.25E-281,2.33E-278
,,,4.687889908,9.089442796,9.089442796,5.89E-273,4.96E-282,4.10E-279
,,,4.692844037,9.017406382,9.017406382,1.54E-273,1.09E-282,7.19E-280
,,,4.697798165,8.945270566,8.945270566,4.05E-274,2.40E-283,1.26E-280
,,,4.702752294,8.873035347,8.873035347,1.06E-274,5.28E-284,2.20E-281
,,,4.707706422,8.800700726,8.800700726,2.76E-275,1.16E-284,3.83E-282
,,,4.71266055,8.728266703,8.728266703,7.21E-276,2.53E-285,6.66E-283
,,,4.717614679,8.655733277,8.655733277,1.88E-276,5.53E-286,1.16E-283
,,,4.722568807,8.583100449,8.583100449,4.89E-277,1.20E-286,2.00E-284
,,,4.727522936,8.510368218,8.510368218,1.27E-277,2.62E-287,3.45E-285
,,,4.732477064,8.437536586,8.437536586,3.29E-278,5.69E-288,5.95E-286
,,,4.737431193,8.36460555,8.36460555,8.53E-279,1.23E-288,1.02E-286
,,,4.742385321,8.291575113,8.291575113,2.21E-279,2.67E-289,1.75E-287
,,,4.74733945,8.218445273,8.218445273,5.70E-280,5.78E-290,2.99E-288
,,,4.752293578,8.14521603,8.14521603,1.47E-280,1.25E-290,5.11E-289
,,,4.757247706,8.071887386,8.071887386,3.79E-281,2.68E-291,8.70E-290
,,,4.762201835,7.998459339,7.998459339,9.75E-282,5.77E-292,1.48E-290
,,,4.767155963,7.924931889,7.924931889,2.50E-282,1.24E-292,2.50E-291
,,,4.772110092,7.851305038,7.851305038,6.42E-283,2.65E-293,4.23E-292
,,,4.77706422,7.777578783,7.777578783,1.64E-283,5.67E-294,7.13E-293
,,,4.782018349,7.703753127,7.703753127,4.21E-284,1.21E-294,1.20E-293
,,,4.786972477,7.629828068,7.629828068,1.07E-284,2.58E-295,2.01E-294
,,,4.791926606,7.555803607,7.555803607,2.74E-285,5.48E-296,3.37E-295
,,,4.796880734,7.481679743,7.481679743,6.98E-286,1.16E-296,5.63E-296
,,,4.801834862,7.407456477,7.407456477,1.77E-286,2.47E-297,9.39E-297
,,,4.806788991,7.333133809,7.333133809,4.51E-287,5.22E-298,1.56E-297
,,,4.811743119,7.258711738,7.258711738,1.14E-287,1.10E-298,2.59E-298
,,,4.816697248,7.184190265,7.184190265,2.90E-288,2.32E-299,4.28E-299
,,,4.821651376,7.10956939,7.10956939,7.32E-289,4.89E-300,7.07E-300
,,,4.826605505,7.034849112,7.034849112,1.85E-289,1.03E-300,1.16E-300
,,,4.831559633,6.960029432,6.960029432,4.66E-290,2.16E-301,1.91E-301
,,,4.836513761,6.885110349,6.885110349,1.17E-290,4.51E-302,3.14E-302
,,,4.84146789,6.810091865,6.810091865,2.95E-291,9.43E-303,5.13E-303
,,,4.846422018,6.734973977,6.734973977,7.42E-292,1.97E-303,8.38E-304
,,,4.851376147,6.659756688,6.659756688,1.86E-292,4.10E-304,1.36E-304
,,,4.856330275,6.584439996,6.584439996,4.66E-293,8.52E-305,2.21E-305
,,,4.861284404,6.509023902,6.509023902,1.16E-293,1.77E-305,3.59E-306
,,,4.866238532,6.433508405,6.433508405,2.91E-294,3.67E-306,5.80E-307
,,,4.871192661,6.357893506,6.357893506,7.25E-295,7.58E-307,9.35E-308
,,,4.876146789,6.282179204,6.282179204,1.81E-295,1.56E-307,0.00E+00
,,,4.881100917,6.206365501,6.206365501,4.49E-296,3.23E-308,0.00E+00
,,,4.886055046,6.130452395,6.130452395,1.11E-296,0.00E+00,3.86890385980503e-310
,,,4.891009174,6.054439886,6.054439886,2.76E-297,0.00E+00,6.181167204215e-311
,,,4.895963303,5.978327975,5.978327975,6.84E-298,2.7935768137584e-310,9.852219423325e-312
,,,4.900917431,5.902116662,5.902116662,1.69E-298,5.7170971610636e-311,1.566674193787e-312
,,,4.90587156,5.825805946,5.825805946,4.18E-299,1.1679626571517e-311,2.485446013e-313
,,,4.910825688,5.749395828,5.749395828,1.03E-299,2.38188489748e-312,3.9337885235e-314
,,,4.915779817,5.672886308,5.672886308,2.54E-300,4.84898692224e-313,6.211531766e-315
,,,4.920733945,5.596277385,5.596277385,6.23E-301,9.8541616944e-314,9.7851493e-316
,,,4.925688073,5.51956906,5.51956906,1.53E-301,1.999064399e-314,1.5378617e-316
,,,4.930642202,5.442761333,5.442761333,3.75E-302,4.04829644e-315,2.4112795e-317
,,,4.93559633,5.365854203,5.365854203,9.18E-303,8.18382376e-316,3.77182e-318
,,,4.940550459,5.288847671,5.288847671,2.25E-303,1.65150113e-316,5.8865e-319
,,,4.945504587,5.211741737,5.211741737,5.48E-304,3.326893e-317,9.16e-320
,,,4.950458716,5.1345364,5.1345364,1.34E-304,6.69015e-318,1.4185e-320
,,,4.955412844,5.057231661,5.057231661,3.25E-305,1.343043e-318,2.22e-321
,,,4.960366972,4.979827519,4.979827519,7.91E-306,2.69167e-319,3.06e-322
,,,4.965321101,4.902323975,4.902323975,1.92E-306,5.378e-320,0
,,,4.970275229,4.824721029,4.824721029,4.65E-307,1.0815e-320,0
,,,4.975229358,4.74701868,4.74701868,1.13E-307,2.283e-321,0
,,,4.980183486,4.669216929,4.669216929,2.72E-308,2.8e-322,0
,,,4.985137615,4.591315776,4.591315776,0.00E+00,0,0
,,,4.990091743,4.51331522,4.51331522,0.00E+00,0,0
,,,4.995045872,4.435215262,4.435215262,3.8121815268684e-310,0,0
